"Rtot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","R%"
906.00,76.493
907.00,76.539
908.00,76.483
909.00,76.524
910.00,76.458
911.00,76.409
912.00,76.414
913.00,76.417
914.00,76.423
915.00,76.420
916.00,76.379
917.00,76.400
918.00,76.375
919.00,76.369
920.00,76.385
921.00,76.397
922.00,76.386
923.00,76.339
924.00,76.287
925.00,76.300
926.00,76.315
927.00,76.318
928.00,76.355
929.00,76.341
930.00,76.323
931.00,76.264
932.00,76.228
933.00,76.223
934.00,76.202
935.00,76.211
936.00,76.146
937.00,76.083
938.00,76.050
939.00,76.115
940.00,76.159
941.00,76.198
942.00,76.185
943.00,76.185
944.00,76.151
945.00,76.138
946.00,76.128
947.00,76.144
948.00,76.136
949.00,76.105
950.00,76.039
951.00,76.022
952.00,76.049
953.00,76.098
954.00,76.113
955.00,76.104
956.00,76.087
957.00,76.114
958.00,76.106
959.00,76.103
960.00,76.045
961.00,76.033
962.00,76.003
963.00,75.991
964.00,75.949
965.00,75.927
966.00,75.951
967.00,75.923
968.00,75.912
969.00,75.879
970.00,75.925
971.00,75.955
972.00,75.937
973.00,75.960
974.00,75.897
975.00,75.878
976.00,75.783
977.00,75.778
978.00,75.770
979.00,75.793
980.00,75.820
981.00,75.834
982.00,75.813
983.00,75.775
984.00,75.762
985.00,75.748
986.00,75.750
987.00,75.698
988.00,75.681
989.00,75.706
990.00,75.737
991.00,75.768
992.00,75.747
993.00,75.746
994.00,75.675
995.00,75.655
996.00,75.607
997.00,75.640
998.00,75.606
999.00,75.617
1000.00,75.632
1001.00,75.619
1002.00,75.594
1003.00,75.539
1004.00,75.521
1005.00,75.506
1006.00,75.490
1007.00,75.471
1008.00,75.452
1009.00,75.435
1010.00,75.426
1011.00,75.411
1012.00,75.402
1013.00,75.373
1014.00,75.344
1015.00,75.301
1016.00,75.267
1017.00,75.275
1018.00,75.307
1019.00,75.336
1020.00,75.329
1021.00,75.330
1022.00,75.336
1023.00,75.342
1024.00,75.304
1025.00,75.277
1026.00,75.265
1027.00,75.295
1028.00,75.320
1029.00,75.338
1030.00,75.325
1031.00,75.309
1032.00,75.285
1033.00,75.263
1034.00,75.203
1035.00,75.131
1036.00,75.104
1037.00,75.110
1038.00,75.134
1039.00,75.149
1040.00,75.161
1041.00,75.136
1042.00,75.125
1043.00,75.121
1044.00,75.150
1045.00,75.173
1046.00,75.199
1047.00,75.180
1048.00,75.152
1049.00,75.144
1050.00,75.183
1051.00,75.202
1052.00,75.198
1053.00,75.151
1054.00,75.145
1055.00,75.136
1056.00,75.127
1057.00,75.107
1058.00,75.056
1059.00,75.052
1060.00,75.006
1061.00,75.012
1062.00,75.007
1063.00,75.010
1064.00,75.038
1065.00,75.013
1066.00,75.007
1067.00,74.983
1068.00,74.986
1069.00,74.977
1070.00,74.955
1071.00,75.003
1072.00,75.066
1073.00,75.121
1074.00,75.115
1075.00,75.095
1076.00,75.081
1077.00,75.038
1078.00,75.004
1079.00,74.959
1080.00,74.970
1081.00,75.005
1082.00,74.995
1083.00,74.977
1084.00,74.922
1085.00,74.893
1086.00,74.877
1087.00,74.848
1088.00,74.865
1089.00,74.877
1090.00,74.922
1091.00,74.991
1092.00,75.016
1093.00,75.061
1094.00,75.047
1095.00,75.072
1096.00,75.062
1097.00,75.049
1098.00,75.046
1099.00,74.995
1100.00,74.951
1101.00,74.897
1102.00,74.872
1103.00,74.882
1104.00,74.914
1105.00,74.967
1106.00,74.963
1107.00,74.940
1108.00,74.931
1109.00,74.945
1110.00,74.972
1111.00,74.986
1112.00,75.003
1113.00,75.028
1114.00,74.994
1115.00,74.996
1116.00,74.947
1117.00,74.943
1118.00,74.922
1119.00,74.909
1120.00,74.958
1121.00,74.970
1122.00,74.963
1123.00,74.920
1124.00,74.918
1125.00,74.926
1126.00,74.885
1127.00,74.801
1128.00,74.751
1129.00,74.743
1130.00,74.722
1131.00,74.659
1132.00,74.579
1133.00,74.582
1134.00,74.589
1135.00,74.592
1136.00,74.463
1137.00,74.410
1138.00,74.393
1139.00,74.434
1140.00,74.401
1141.00,74.365
1142.00,74.350
1143.00,74.372
1144.00,74.407
1145.00,74.448
1146.00,74.457
1147.00,74.467
1148.00,74.485
1149.00,74.573
1150.00,74.672
1151.00,74.756
1152.00,74.801
1153.00,74.812
1154.00,74.846
1155.00,74.882
1156.00,74.889
1157.00,74.928
1158.00,74.963
1159.00,75.082
1160.00,75.148
1161.00,75.228
1162.00,75.222
1163.00,75.204
1164.00,75.172
1165.00,75.187
1166.00,75.213
1167.00,75.222
1168.00,75.229
1169.00,75.265
1170.00,75.288
1171.00,75.276
1172.00,75.259
1173.00,75.223
1174.00,75.241
1175.00,75.209
1176.00,75.245
1177.00,75.284
1178.00,75.340
1179.00,75.341
1180.00,75.307
1181.00,75.293
1182.00,75.275
1183.00,75.264
1184.00,75.214
1185.00,75.185
1186.00,75.200
1187.00,75.202
1188.00,75.190
1189.00,75.144
1190.00,75.138
1191.00,75.168
1192.00,75.183
1193.00,75.200
1194.00,75.183
1195.00,75.164
1196.00,75.136
1197.00,75.124
1198.00,75.134
