"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
942.00,9.911
943.00,9.933
944.00,9.922
945.00,9.882
946.00,9.890
947.00,9.901
948.00,9.889
949.00,9.885
950.00,9.865
951.00,9.872
952.00,9.887
953.00,9.900
954.00,9.946
955.00,9.933
956.00,9.930
957.00,9.905
958.00,9.891
959.00,9.895
960.00,9.888
961.00,9.919
962.00,9.930
963.00,9.953
964.00,9.941
965.00,9.938
966.00,9.929
967.00,9.950
968.00,9.957
969.00,9.974
970.00,9.972
971.00,9.970
972.00,9.946
973.00,9.960
974.00,9.976
975.00,9.985
976.00,9.975
977.00,9.957
978.00,9.943
979.00,9.942
980.00,9.959
981.00,9.996
982.00,9.979
983.00,9.975
984.00,9.935
985.00,9.950
986.00,9.959
987.00,9.978
988.00,10.007
989.00,10.024
990.00,10.022
991.00,10.005
992.00,9.991
993.00,10.013
994.00,10.005
995.00,10.003
996.00,9.987
997.00,9.993
998.00,10.004
999.00,10.017
1000.00,10.013
1001.00,10.008
1002.00,10.032
1003.00,10.066
1004.00,10.065
1005.00,10.057
1006.00,10.039
1007.00,10.033
1008.00,9.998
1009.00,10.019
1010.00,10.047
1011.00,10.067
1012.00,10.050
1013.00,10.035
1014.00,10.046
1015.00,10.070
1016.00,10.125
1017.00,10.120
1018.00,10.116
1019.00,10.071
1020.00,10.067
1021.00,10.075
1022.00,10.090
1023.00,10.084
1024.00,10.080
1025.00,10.061
1026.00,10.098
1027.00,10.105
1028.00,10.118
1029.00,10.103
1030.00,10.099
1031.00,10.098
1032.00,10.075
1033.00,10.067
1034.00,10.071
1035.00,10.097
1036.00,10.088
1037.00,10.087
1038.00,10.092
1039.00,10.092
1040.00,10.110
1041.00,10.108
1042.00,10.122
1043.00,10.126
1044.00,10.141
1045.00,10.135
1046.00,10.141
1047.00,10.135
1048.00,10.134
1049.00,10.113
1050.00,10.109
1051.00,10.132
1052.00,10.158
1053.00,10.169
1054.00,10.181
1055.00,10.161
1056.00,10.147
1057.00,10.146
1058.00,10.173
1059.00,10.204
1060.00,10.225
1061.00,10.220
1062.00,10.199
1063.00,10.204
1064.00,10.206
1065.00,10.224
1066.00,10.203
1067.00,10.205
1068.00,10.197
1069.00,10.218
1070.00,10.235
1071.00,10.247
1072.00,10.240
1073.00,10.217
1074.00,10.217
1075.00,10.197
1076.00,10.228
1077.00,10.229
1078.00,10.260
1079.00,10.244
1080.00,10.268
1081.00,10.281
1082.00,10.294
1083.00,10.296
1084.00,10.268
1085.00,10.272
1086.00,10.248
1087.00,10.264
1088.00,10.265
1089.00,10.306
1090.00,10.314
1091.00,10.308
1092.00,10.239
1093.00,10.237
1094.00,10.220
1095.00,10.260
1096.00,10.272
1097.00,10.296
1098.00,10.315
1099.00,10.323
1100.00,10.344
1101.00,10.352
1102.00,10.347
1103.00,10.342
1104.00,10.351
1105.00,10.341
1106.00,10.341
1107.00,10.317
1108.00,10.324
1109.00,10.341
1110.00,10.355
1111.00,10.368
1112.00,10.354
1113.00,10.362
1114.00,10.346
1115.00,10.359
1116.00,10.341
1117.00,10.340
1118.00,10.316
1119.00,10.303
1120.00,10.307
1121.00,10.321
1122.00,10.349
1123.00,10.335
1124.00,10.326
1125.00,10.301
1126.00,10.311
1127.00,10.285
1128.00,10.273
1129.00,10.220
1130.00,10.194
1131.00,10.142
1132.00,10.131
1133.00,10.093
1134.00,10.061
1135.00,9.985
1136.00,9.955
1137.00,9.915
1138.00,9.899
1139.00,9.840
1140.00,9.813
1141.00,9.768
1142.00,9.779
1143.00,9.778
1144.00,9.790
1145.00,9.797
1146.00,9.803
1147.00,9.831
1148.00,9.861
1149.00,9.904
1150.00,9.940
1151.00,9.959
1152.00,9.983
1153.00,10.051
1154.00,10.129
1155.00,10.191
1156.00,10.227
1157.00,10.241
1158.00,10.297
1159.00,10.327
1160.00,10.376
