"Tdif_PMMA_1fv_CaCO3 - RawData"
"Wavelength nm.","T%"
1361.00,24.220
1362.00,24.177
1363.00,24.235
1364.00,24.182
1365.00,24.177
1366.00,24.152
1367.00,24.153
1368.00,24.139
1369.00,24.105
1370.00,24.109
1371.00,24.081
1372.00,24.059
1373.00,24.059
1374.00,24.049
1375.00,24.064
1376.00,24.102
1377.00,24.113
1378.00,24.125
1379.00,24.097
1380.00,24.164
1381.00,24.218
1382.00,24.186
1383.00,24.148
1384.00,24.076
1385.00,24.142
1386.00,24.123
1387.00,24.102
1388.00,24.020
1389.00,24.030
1390.00,24.001
1391.00,24.107
1392.00,24.105
1393.00,24.219
1394.00,24.140
1395.00,24.134
1396.00,24.063
1397.00,24.096
1398.00,24.100
1399.00,24.157
1400.00,24.169
